,URL,pages,description,prix
4930,https://www.zoopla.co.uk//for-sale/details/54071266?search_identifier=238a937a86f4d76a7dc6f3df0d7bb5a0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=50,1 bed property for sale,105000.0
1368,https://www.zoopla.co.uk//new-homes/details/54141422?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=14,1 bed flat for sale,105450.0
8802,https://www.zoopla.co.uk//new-homes/details/53987430?search_identifier=a49d84a76d51c91593b6c41cc23a59fb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=89,1 bed flat for sale,105750.0
6694,https://www.zoopla.co.uk//new-homes/details/54030959?search_identifier=5f379b47885253facf691c9da832d0ff,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=67,2 bed flat for sale,106250.0
5081,https://www.zoopla.co.uk//new-homes/details/54039745?search_identifier=8d486b349d09e5cfcca8acc0f690c3c0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=51,2 bed flat for sale,106250.0
2518,https://www.zoopla.co.uk//new-homes/details/54118934?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,2 bed flat for sale,106500.0
4512,https://www.zoopla.co.uk//for-sale/details/54079653?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,2 bed flat for sale,106875.0
3098,https://www.zoopla.co.uk//for-sale/details/54106889?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=31,2 bed flat for sale,108000.0
6598,https://www.zoopla.co.uk//for-sale/details/54034161?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,1 bed flat for sale,108000.0
4154,https://www.zoopla.co.uk//for-sale/details/54089726?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,108500.0
5320,https://www.zoopla.co.uk//new-homes/details/54066207?search_identifier=c410247bdd38ccbe0830fbc10e9adda2,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=54,1 bed flat for sale,108750.0
6421,https://www.zoopla.co.uk//new-homes/details/54039921?search_identifier=ba2b605830fffdb4450f724cb82c2b94,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=65,2 bed flat for sale,109375.0
3773,https://www.zoopla.co.uk//for-sale/details/54095261?search_identifier=126ebb161c184d66f0c85a917d8aca4b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=38,1 bed flat for sale,109995.0
4875,https://www.zoopla.co.uk//for-sale/details/54074615?search_identifier=6e021a797919b125b060dfed191d21b4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=49,Studio for sale,110000.0
6805,https://www.zoopla.co.uk//for-sale/details/54029132?search_identifier=1abf4aab03a50d661349b059887038a8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=69,1 bed flat for sale,110000.0
4733,https://www.zoopla.co.uk//for-sale/details/54076526?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,1 bed flat for sale,110000.0
