,URL,ville,code postal,adresse,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
89,https://www.zoopla.co.uk//for-sale/details/54181673?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE8,"The Drakes, 390 Evelyn Street, London SE8",385000,49.424396,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
90,https://www.zoopla.co.uk//for-sale/details/54181681?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,N19,"Crouch Hall Court, Sparsholt Road, London N19",350000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
91,https://www.zoopla.co.uk//for-sale/details/54181666?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E3,"Morgan Street, Bow, London E3",999950,111.297794,vente,A,3,NA,NA,3 bed end terrace house for sale,Maison,NA
92,https://www.zoopla.co.uk//for-sale/details/54181622?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E3,"4 Axio Way, London E3",345000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
93,https://www.zoopla.co.uk//for-sale/details/54181606?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW7,"Tithe Close, London NW7",689950,NA,vente,A,3,1,NA,3 bed semi-detached house for sale,Maison,NA
94,https://www.zoopla.co.uk//for-sale/details/54181584?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E1,"City Gate, Mile End Road, London E1",550000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
95,https://www.zoopla.co.uk//for-sale/details/54181581?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Croydon,CR0,"Oak Avenue, Croydon CR0",495000,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA
96,https://www.zoopla.co.uk//for-sale/details/54181560?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E9,"Felstead Steet, Hackney, London E9",550000,NA,vente,A,2,1,1,2 bed end terrace house for sale,Maison,NA
97,https://www.zoopla.co.uk//for-sale/details/54181557?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW7,"Marsh Lane, London NW7",1650000,NA,vente,A,5,4,3,5 bed detached house for sale,Maison,NA
98,https://www.zoopla.co.uk//for-sale/details/54181550?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Woodford Green,IG8,"Chigwell Road, Woodford Green IG8",475000,NA,vente,A,3,2,1,3 bed end terrace house for sale,Maison,NA
99,https://www.zoopla.co.uk//for-sale/details/54181535?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Northwood,HA6,"Neal Close, Northwood HA6",80000,40.691514,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
