,URL,ville,code postal,adresse,prix,surface,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
4064,https://www.zoopla.co.uk//for-sale/details/54095313?search_identifier=7a8541b13a993b61d4666d1416e42352, Vauxhall,SW8,"Anchor House, St George Wharf, Vauxhall SW8",785000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
656,https://www.zoopla.co.uk//for-sale/details/54161556?search_identifier=7628ff5369be1389d7c928a9eb4c75d1, London,W11,"205 Holland Park Avenue, London W11",785000.0,51.282455999999996,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
2442,https://www.zoopla.co.uk//new-homes/details/54125873?search_identifier=bd268dfed7c29988402539b9a6ce422b, 8De,E5,"The Otto, Hackney, The Otto Buildings, Downs Road, Clapton, 8De E5",785000.0,NA,vente,N,2,NA,NA,2 bed flat for sale,Appartement,NA
4938,https://www.zoopla.co.uk//for-sale/details/54077513?search_identifier=238a937a86f4d76a7dc6f3df0d7bb5a0, Teddington,TW11,"York Road, Teddington TW11",785000.0,NA,vente,A,3,2,1,3 bed terraced house for sale,Maison,NA
5021,https://www.zoopla.co.uk//for-sale/details/54076593?search_identifier=8d486b349d09e5cfcca8acc0f690c3c0, Uxbridge,UB8,"Cowley Mill Road, Uxbridge UB8",785000.0,NA,vente,A,6,3,1,6 bed semi-detached house for sale,Maison,NA
2400,https://www.zoopla.co.uk//for-sale/details/54127844?search_identifier=bd268dfed7c29988402539b9a6ce422b, Middlesex,HA5,"Village Way, Pinner, Middlesex HA5",785000.0,NA,vente,A,5,2,2,5 bed semi-detached house for sale,Maison,NA
2762,https://www.zoopla.co.uk//for-sale/details/54120017?search_identifier=aead6369aaf688945fcc6ca2557d2b20, London,SE16,"Baltic Quay, 1 Sweden Gate, London SE16",785000.0,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA
5699,https://www.zoopla.co.uk//for-sale/details/54064074?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd, Orpington,BR6,"Orchard Green, Orpington BR6",785000.0,167.968624,vente,A,3,2,2,3 bed detached house for sale,Maison,NA
2967,https://www.zoopla.co.uk//new-homes/details/54095664?search_identifier=25971fe6e2637a7010d0b8b56ed1cfc2, London,E2,"London Terrace, Hackney Road, London E2",785000.0,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
44,https://www.zoopla.co.uk//new-homes/details/54171370?search_identifier=e431d2b21f8c113b686bf52a8d653f6a, London,SW8,"Pinto Tower, Nine Elms, London SW8",785000.0,76,vente,N,2,2,1,2 bed flat for sale,Appartement,NA
680,https://www.zoopla.co.uk//new-homes/details/54161283?search_identifier=7628ff5369be1389d7c928a9eb4c75d1, London,E1,"Georgette Building, Silk District, Whitechapel, London E1",785000.0,76.830781,vente,N,2,2,1,2 bed flat for sale,Appartement,NA
