,URL,ville,code postal,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide,adresse
81,https://www.zoopla.co.uk//for-sale/details/54182983,Bexley,DA5,475000,NA,vente,A,4,1,2,4 bed end terrace house for sale,Maison,NA,"Dorchester Avenue, Bexley DA5"
82,https://www.zoopla.co.uk//for-sale/details/54182777,Londres,SW15,1295000,NA,vente,A,4,NA,NA,4 bed terraced house for sale,Maison,NA,"Disraeli Road, Putney, London SW15"
83,https://www.zoopla.co.uk//for-sale/details/54182762,Isleworth,TW7,625000,NA,vente,A,3,NA,1,3 bed semi-detached house for sale,Maison,NA,"Woodlands Road, Isleworth TW7"
84,https://www.zoopla.co.uk//for-sale/details/51236148,Mitcham,CR4,175000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA,"Mill Green, London Road, Mitcham Junction, Mitcham CR4"
85,https://www.zoopla.co.uk//for-sale/details/54182743,Epsom,KT17,450000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"East Street, Epsom KT17"
86,https://www.zoopla.co.uk//for-sale/details/54182733,Croydon,CR0,350000,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA,"Elmhurst Court, St. Peters Road, Croydon CR0"
87,https://www.zoopla.co.uk//for-sale/details/54182715,Pinner,HA5,1100000,NA,vente,A,5,4,3,5 bed detached house for sale,Maison,NA,"Cedar Drive, Pinner HA5"
88,https://www.zoopla.co.uk//for-sale/details/54182718,Londres,E12,579995,NA,vente,A,4,1,1,4 bed terraced house for sale,Maison,NA,"Sheringham Avenue, Manor Park, London E12"
89,https://www.zoopla.co.uk//for-sale/details/54182726,Hampton,TW12,285000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"High Street, Hampton Hill, Hampton TW12"
90,https://www.zoopla.co.uk//for-sale/details/54182708,Londres,NW3,925000,70,vente,A,2,1,1,2 bed flat for sale,Appartement,NA,"Ornan Road, Belsize Park, London NW3"
91,https://www.zoopla.co.uk//for-sale/details/54182670,Londres,N12,625000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Salvin Court, Torrington Park, North Finchley N12"
92,https://www.zoopla.co.uk//for-sale/details/54182647,Londres,NW3,580000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Finchley Road, Hampstead, London NW3"
93,https://www.zoopla.co.uk//for-sale/details/54182649,Londres,SW16,300000,NA,vente,A,1,NA,NA,1 bed bungalow for sale,Bungalow,NA,"Longthornton Road, Streatham SW16"
94,https://www.zoopla.co.uk//for-sale/details/54182652,Londres,NW3,3250000,NA,vente,A,6,NA,NA,6 bed end terrace house for sale,Maison,NA,"Rudall Crescent, London NW3"
95,https://www.zoopla.co.uk//for-sale/details/46497635,Upminster,RM14,1100000,NA,vente,A,4,2,2,4 bed detached house for sale,Maison,NA,"Hall Lane, Upminster RM14"
